Example #,TTL_ZPT Text (Original),Segmentation
Example 578,xá.ˈrā.kēn,xá=r-ak=ēn
Example 579,ˈBǽd,Bǽd
Example 580,gu.ˈnnḭ̂,gu-nnḭ
Example 581,tū.byé.ˈnē.ūn,tū=bi-ēnǣ=ūn
Example 582,ˈBǽd,Bǽd
Example 583,kwǽ.ˈbæ̰̂,kwǽbæ̰
Example 584,lady.ˈgītx.kī,lady+gitx=kī
Example 585,lo.ˈgits,low=gits
Example 586,ba.ˈdxē.lán,ba-dxēl=an
Example 587,te.ˈnæz,te=næz
Example 588,ˈBǽd,Bǽd
Example 589,ba.ká.ˈbæ̰,ba-kabæ̰
Example 590,ˈdxi,dxi
Example 591,ni.ˈtxô’n̄,ni=tx´-ô’=ūn
Example 592,ˈLLúpy,ˈLLúpy
Example 593,ru.ˈlṵy,ru-lṵy
Example 594,ˈfǒrm,fǒrm
Example 595,ni.ˈrā.kēn,ni=r-ak=ēn
Example 596,*ˈBǽd,Bǽd
Example 597,ba.ká.ˈbæ̰,ba-kabæ̰
Example 598,lá.ˈzô’n̄,lá=z-ô’=ūn
Example 599,gāxh.bá.zi.ˈrwa’n,gāxh=ba-ziru’=an
Example 600,ˈlǎ̰n,lǎ̰n
Example 601,ˈbâ̰.nyā.nēn,ba̰ny=an=ēn
Example 602,gāxh.bá.zi.ˈrwa’n,gāxh=ba-ziru’=an
Example 603,xī.ˈbâ̰.nyan,xī=ba̰ny=an
Example 604,*gāxh.bá.zi.ˈrwa’n,gāxh=ba-ziru’=an
Example 605,lá.zæ̰n,lá=zæ̰n
Example 606,á.ba.ˈdxé.lán,á=ba-dxēl=an
Example 607,tū.ˈbâ̰.nīn,tū=ba̰ny=ēn
Example 608,ˈLLúpy,LLúpy
Example 609,ba.sú.ˈtxḛ,ba-sutxḛ
Example 610,xī.byé.ˈnē.ūn,xī=bi-ēnǣ=ūn
Example 611,á.ba.ˈdxēl,á=ba-dxēl
Example 612,ˈLLúpy,llúpy
Example 613,tū.gú.ˈdæ̰̂.dan,tū=gu-dæ̰̂d=an
Example 614,ˈbækw,bækw
Example 615,á.ba.ˈdxēl,á=ba-dxēl
Example 616,ˈLLúpy,llúpy
Example 617,kā.lí.ˈkwǽ.dán,kālí=kwǽ=dán
Example 618,ˈyū’tū,yū’=tū
Example 619,rí.ˈkā’n,ri-kā’=ān
Example 620,ˈǽs.tá,æstá
Example 621,#ˈgu’,g-u’
Example 622,xī.gú.ˈnnâ̰.ban,xī=gu-nna̰b=an
Example 623,ˈyū’.tū,yū’tū
Example 624,rí.ˈkā’n,ri-kā’=ān
Example 625,ˈǽs.tá,æstá
Example 626,ˈyū’.xī,yū’=xī
Example 627,ká.ˈnnā̰.bēn,ká-nnya̰b=ēn
Example 628,ˈyū’.kā.lí,yū’=kālí
Example 629,ˈtxæ̰̂n,tx´-æ=an
Example 630,nna’.ˈdxi,nna’dxi
Example 631,ˈyū’,yū’
Example 632,tū.ˈbénny,tū=bēnny
Example 633,rí.ˈkā’n,ri-kā’=ān
Example 634,ˈǽs.tá,æstá
Example 635,ˈyū’,yū’
Example 636,xī.ˈgîts,xī=gits
Example 637,ká.ˈnnā̰.bēn,ká-nnya̰b=ēn
Example 638,ˈyū’,yū’
Example 639,kā.ˈnæ̂z,kā=næ̂z
Example 640,ˈtxæ̰̂n,tx´-æ=an
Example 641,nna’.ˈdxi,nna’dxi
Example 642,á.ˈrā.pá,á=r-ǎp=a̰
Example 643,xī.gú.ˈdæ̰̂.da,xī=gu´-dæ̰̂d=a̰
Example 644,*á.ˈrā.pá,á=r-ǎp=a̰
Example 645,xī.ní.gu.ˈdæ̰̂.da’,xī=ní=gu´-dæ̰̂d=a̰
Example 646,kon.ba.ˈdæ̰d.dá.nēn,kon=ba-dæ̰d=dán=ēn
Example 647,ní.tsīz.bá.ˈzûyn,ni=tsīz=ba-zuny
Example 648,ˈBā̰.nīn,ba̰ny=īn
Example 649,ká.tsīz.rí.ˈka̰.zu,ka=tsīz=ri-ka̰z=ṵ
Example 650,ˈGwæ,gu-æ
Example 651,kū.tsīz.rí.ˈka̰.zu,kūd=tsīz=ri-ka̰z=ṵ
Example 652,*ˈBā̰.nīn,ba̰ny=īn
Example 653,kā.lí.tsīz.rí.ˈka̰.zu,kālí=tsīz=ri-ka̰z=ṵ
Example 654,ba.ˈdæ̰d.dá.nēn,ba-dæ̰d=dán=ēn
Example 655,ˈbén.tsīz,bēnny=tsīz
Example 656,ní.ba.ˈzûynrc,ni´=ba-azuny
Example 657,Gūl.gú.ˈdǣ̰.dēn,gūl=gu´-dæ̰d=ēn
Example 658,nī.tsīz.gá.ˈzûynrc,ni=tsīz=ga´-zuny
Example 659,ˈbēn.tsīz,bēnny=tsīz
Example 660,ní.ba.ˈzûynrc,ni=ba-azuny
Example 661,ba.ˈdæ̰d.dá.nēn,ba-dæ̰d=dán=ēn
Example 662,nna’.ˈdxi,nna’dxi
Example 663,ˈzyǽ,z´-yæ
Example 664,ben.ˈgúl,bengúl
Example 665,ˈzyǽ,z-yæ
Example 666,ˈbēnny,bēnny
Example 667,lo.ni.bi.ˈdxû’n̄,low=ni=bi-dxû’n̄
Example 668,ˈréky,rēky
Example 669,ˈdxā’,dxā’
Example 670,ní.rak.ˈxhṵ,ni=r-akxhṵ
Example 671,ri.ˈnnyæ̰n,ri-nnḭ=an
Example 672,gāxh.rí.ˈnnyæ̰n,gāxh=ri-nnḭ=an
Example 673,ˈdxā’,dxā’
Example 674,ní.rak.ˈxhṵ,ni=r-akxhṵ
Example 675,lá.na.ˈnnǒw,lá=nannā=ṵ
Example 676,lá.ˈrā.pán,lá=r-āp=an
Example 677,ka.ˈmyún?,kamyún
Example 678,bin.ˈdyā.gá,b-indyǎg=a̰
Example 679,gu.ri.ˈxtyæ̰n,gu-rixtyæ=an
Example 680,xī.bín.ˈdya̰.gu’?,xī=b-indyag=ṵ
Example 681,bi.ˈlā.dán,bi-lā=dán
Example 682,ˈlǎ̰n,lǎ̰n
Example 683,ˈlā̰yn,lā̰yn
Example 684,ní.ˈbyá.ban,ni=b-yab=an
Example 685,lá.na.ˈnnǒw,lá=nannā=ṵ
Example 686,lá.ˈrā.pán,lá=r-āp=an
Example 687,ka.ˈmyún?,kamyún
Example 688,ˈlǎ̰n,lǎ̰n
Example 689,ba.ˈlṵ̂.yan,ba-lṵy=an
Example 690,ˈluy,luy
Example 691,xī.ˈdḭ̂dx,xī=dḭdx
Example 692,ˈnnḭ̂w,nnḭ̂=ṵ
Example 693,ˈJwáyn,Jwáyn
Example 694,gu.nní.ˈbæ̰,gu-nnibæ̰
Example 695,ba.ˈsyā,ba-syā
Example 696,ˈBǽd,Bǽd
Example 697,lo.ˈnæz,lonæz
Example 698,ri.nni.ˈbæ̰,ri-nnibæ̰
Example 699,ˈJwáyn,Jwáyn
Example 700,ru.ˈsyā,ru-syā
Example 701,ˈBǽd,Bǽd
Example 702,lo.ˈnæz,lonæz
Example 703,ˈJwáyn,Jwáyn
Example 704,gu.nní.ˈbæ̰,gu-nnibæ̰
Example 705,ká.ˈsyā,ká-syā
Example 706,ˈBǽd,Bǽd
Example 707,lo.ˈnæz,lonæz
Example 708,ˈllíbr.kī,llíbr=kī
Example 709,bá.ˈkḭ́ly,ba-kḭ̄ly
Example 710,ˈBǽd,Bǽd
Example 711,ˈlǎ̰n,lǎ̰n
Example 712,"ˈnyú.llyan,",ni´-ull=an
Example 713,pær…,pær
Example 714,ˈJwáyn,Jwáyn
Example 715,gu.nní.ˈbæ̰,gu-nnibæ̰
Example 716,kēd.ˈtxǽ.dyan,kēd=tx´-æ=di=an
Example 717,ri.ˈka̰z,ri-ka̰z
Example 718,ˈBǽd,Bǽd
Example 719,ˈsḭ̂,sḭ̂
Example 720,ˈJwáyn,Jwáyn
Example 721,te.ˈllag,te=llag
Example 722,ˈlady,lady
Example 723,ri.ˈka̰z,ri-ka̰z
Example 724,ˈBǽd,Bǽd
Example 725,tu.ˈllā’,tullā’
Example 726,ˈpá,pá
Example 727,ri.ˈka̰z,ri-ka̰z
Example 728,ˈBǽd,Bǽd
Example 729,*ˈteky,teky
Example 730,ˈsḭ̂,sḭ̂
Example 731,ˈJwáyn,Jwáyn
Example 732,te.ˈllag,te=llag
Example 733,lady,lady
Example 734,#ri.ˈka̰z,ri-ka̰z
Example 735,ˈBǽd,Bǽd
Example 736,kēd.ˈtxǽ.di.tū,kēd=tx´-æ=di=tū
Example 737,ˈxsǐly.rú,xsǐly=rú
Example 738,ri.zu.ˈla.wan,ri-zulaw=an
Example 739,ri.ˈgī.bán,ri-gǐb=an
Example 740,ˈbǔlls,bǔlls
Example 741,ˈruyn.zyán,r-uynzī=an
Example 742,*teky,teky
Example 743,ˈra.syan,r-asy=an
Example 744,ˈbūll.sén,bǔlls=ēn
Example 745,ri.zu.ˈla.wan,ri-zulaw=an
Example 746,ri.ˈgī.bán,ri-gǐb=an
Example 747,ˈxsǐly.rú…,xsǐly=rú
Example 748,*ˈxsǐly.rú,xsǐly=rú
Example 749,ri.zu.ˈla.wan,ri-zulaw=an
Example 750,ˈbǔlls,bǔlls
Example 751,ri.ˈgī.bán,ri-gǐb=an
Example 752,bin.ˈdyā.gá,b-indyǎg=a̰
Example 753,ká.bi.ˈxtyæ̰n,ká-bixtyæ=an
Example 754,#ˈzye.xhan,z-yexh=an
Example 755,kēd.ˈdyæ̰̂.dyan,kēd=dyæ̰̂=di=an
Example 756,kēd.ˈgyéxh.dyan,kēd=g´-yexh=di=an
Example 757,ˈdyæ̰̂n,dyæ̰̂=an
Example 758,zu.ˈllṵxh,zu-llṵxh
Example 759,ˈga̰n,ga=an
Example 760,gu.ˈkwâ̰n,gu´-kwa̰=an
Example 761,ˈgæt,gæt
Example 762,nna’.ˈdxi,nna’dxi
Example 763,gāxh.bá.zi.ˈrwa’n,gāxh=ba-ziru’=an
Example 764,xī.ˈbâ̰.nyan,xī=ba̰ny=an
Example 765,ba.ˈgṵn,ba-gṵn
Example 766,ˈtæ̰n,tæ̰=an
Example 767,ˈdxǎn,dxǎn
Example 768,ˈteky,teky
Example 769,ˈzæ̰n,z-æ=an
Example 770,txāz.ˈtæ̰̂,txāzī=tæ̰
Example 771,ri.nnyab.ˈdḭ̂dx,ri-nnyabdḭ̂dx
Example 772,ˈJwáyn,Jwáyn
Example 773,ˈLLúpy,LLúpy
Example 774,kā.lí.ˈtxǽ.dán,kālí=tx´-æ=dán
Example 775,txā.zī.rí.ˈza.kan,txāzī=ri-zak=an
Example 776,ˈteky,teky
Example 777,ˈzya.ban,z-yab=an
Example 778,á.ba.sa.ˈla̰z,á=ba-sala̰z
Example 779,ˈJwáyn,Jwáyn
Example 780,ˈtú.ín,tū=īn
Example 781,ˈbâ̰.nīn,ba̰ny=īn
Example 782,byen.ˈla̰z,b-yenla̰z
Example 783,ˈJwáyn,Jwáyn
Example 784,ˈteky,teky
Example 785,ba.ˈdxā̰.gán,ba-dxā̰g=an
Example 786,ˈlā̰.dán,lā̰dán
Example 787,zyak.ˈbæ̰,z-yakbæ̰
Example 788,ˈJwáyn,Jwáyn
Example 789,ˈteky,teky
Example 790,ˈlā̰.dán,lā̰dán
Example 791,ba.ˈkâts.dá.nēn,ba-kâts=dán=ēn
Example 792,á.ba.dxēl.ˈbæ̰̂,á=ba-dxēlbæ̰̂
Example 793,ˈBǽd,Bǽd
Example 794,ˈteky,teky
Example 795,ba.ˈta’.wan,ba-ta’w=an
Example 796,ˈdbêdy.kī,d´=bedy=kī
Example 797,nā.ˈnnâ̰,nānnâ̰
Example 798,kēd.ˈgwǽ.dyan,kēd=gu-æ=di=an
Example 799,lá.na.ˈnnǒw,lá=nannā=ṵ
Example 800,lá.ˈrā.pán,lá=r-āp=an
Example 801,ka.ˈmyún?,kamyún
Example 802,bin.ˈdyā.gá,b-indyǎg=a̰
Example 803,ká.bi.ˈxtyæ̰n,ká-bixtyæ=an
Example 804,lá.gu.ˈnnǒw,lá=gu-nnā=ṵ
Example 805,ˈbya.ban?,b-yab=an
Example 806,byē.ˈnnyá,b-yěnny=a̰
Example 807,ˈbǣ̰d,b-ǣ̰d
Example 808,bí.ˈdxá̰,bidxá̰
Example 809,nnú.ˈtxî,nnutxî
Example 810,ˈba̰yn.zyán,ba̰ynzī=ani
Example 811,ˈra.syan,r-asy=ani/*j
Example 812,ri.ze.ˈbla̰.zan,ri-zebla̰z=an
Example 813,ˈgá.wan,g´-aw=an
Example 814,te.ˈnyéb,te=nyéb
Example 815,ra.te.ˈla.wan,ra-telow=an
Example 816,ˈtxæ̰̂n,tx´-æ=an
Example 817,ˈlæ’n,læ’n
Example 818,ˈrrády,rrády
Example 819,ri.kye.ˈla̰.zan,ri-kyela̰z=an
Example 820,ˈtxû’,tx´-u’
Example 821,xī.ˈgá.wan,xī=g´-aw=an
Example 822,ri.kye.ˈla̰.zan,ri-kyela̰z=an
Example 823,tū.gák.ˈnǣ,tū=g´-aknǣ
Example 824,ˈlǎ̰n,lǎ̰n
Example 825,ˈlǎ̰n,lǎ̰n
Example 826,gu.ˈnnyæ̰̂n,gu-nnḭ=an
Example 827,tū.ˈgǽ̰d,tū=g´-ǣ̰d
Example 828,ba.ˈlla̰,ba-lla̰
Example 829,ˈJwáyn,Jwáyn
Example 830,ˈtxǽ,tx´-æ
Example 831,ˈxhi’.nyan,xhi’ny=an
Example 832,stú.ˈblád,stúblád
Example 833,ru.ˈdxūn.dān,ru-dxūn=dān
Example 834,gá.ˈdæ̰̂.dūn,ga-dæ̰̂d=ūn
Example 835,ˈllíbr.kī,llíbr=kī
Example 836,bá.ˈkḭ́ly,ba-kḭ̄ly
Example 837,ˈBǽd,Bǽd
Example 838,ˈlǎ̰n,lǎ̰n
Example 839,ˈgú.llán,g´-ull=an
Example 840,gāxh.bá.sá.ˈlā.zá,gāxh=ba-sálǎz=a̰
Example 841,ˈlǎ̰n,lǎ̰n
Example 842,txí.ˈti.xhā.nēn,tx´-æ-tixh=an=ēn
Example 843,ba.láz.ˈla̰.wa,ba-lázlow=a̰
Example 844,gu.ˈsæ̰̂.da,gu´-sæ̰̂d=a̰
Example 845,ˈxtxi’n,s=txi’n
Example 846,ˈzā.llán,z-āll=an
Example 847,ˈkí.xhan,kíxh=an
Example 848,ˈgwilly,gwilly
Example 849,ˈzā.llán,z-āll=an
Example 850,ˈtxǽ,tx´-æ=an
Example 851,ˈBǽd,Bǽd
Example 852,xkwíly.ˈnyéxh,xkwíly+nyéxh
Example 853,gu.ˈnnyæ̰n,gu=nnḭ=an
Example 854,ˈyṵ,yṵ
Example 855,ˈba̰.nyā.nēn,ba̰ny=an=ēn
Example 856,ba.ˈsjyæ̰̌n,ba-sjḭ̄=an
Example 857,txí.ˈllǎ’n,tx´-æ-llā’=an
Example 858,ˈlyu,lyu
Example 859,ba.ˈdu’.yan,ba-du’y=an
Example 860,ˈnyæ̰̂n,ni´-æ=an
Example 861,stú.ˈblád,stúblád
Example 862,ˈxsǐly.rú,xsǐly=rú
Example 863,gu.zu.ˈla.wan,gu-zulaw=an
Example 864,ká.ˈgī.bán,ká-gǐb=an
Example 865,gwe.ˈnâ̰.wan,gu-enâ̰w=an
Example 866,ˈbi.llyan,b-illy=an
Example 867,ˈrēky,rēky
Example 868,á.gu.ˈdxi,á=gudxi
Example 869,ru.ˈllṵ.xhan,ru-llṵxh=an
Example 870,ri.ˈbe.xhǎn,ri-bexhā=an
Example 871,ˈxki.tsan,x-gits=an
Example 872,ˈruyn.zyán,r-uynzī=ani
Example 873,ˈra.syan,r-asy=ani/*j
Example 874,á.gu.ˈdxi,á=gudxi
Example 875,ru.ˈllṵ.xhan,ru-llṵxh=ani
Example 876,ri.be.ˈxhǎn,ri-bexhā=ani/*j
Example 877,ˈxki.tsan,x-gits=an
Example 878,ruyn.ˈllā,ru-ynllā
Example 879,ˈBǽd,Bǽdi
Example 880,ˈgyæ̰̂n,g-yæ=ani/*j
Example 881,*ru.ˈkwen,ru-kwen
Example 882,ˈJwáyn,Jwáynj
Example 883,ˈgyǽ,g-yæ
Example 884,ˈxtā.dán,xtǎd=an
Example 885,ˈbye.xhyan,b-yexhy=ani
Example 886,gu.nni.ˈnæ̌n,gu-nninǣ=ani/*j
Example 887,ˈlǎ̰n,lǎ̰n
Example 888,ru.tsāp.ˈlâ.wan,ru-tsāplôw=ani
Example 889,ruyn.ˈtxḛ.yan,r-uyntxḛy=ani/*j
Example 890,ˈlady,lady
Example 891,ba.láz.ˈla̰.wa,ba-lázlow=a̰
Example 892,ká.ˈsæ̰̂.da,ká-sæ̰̂d=a̰
Example 893,ˈxtxi’n,s=txi’n
Example 894,*ba.láz.ˈla̰.wa,ba-lázlow=a̰
Example 895,ká.ˈsæ̰d,ká-sæ̰d
Example 896,ˈBǽd,Bǽd
Example 897,ˈxtxi’n,s=txi’n
Example 898,ba.ˈdu’.yan,ba-du’y=an
Example 899,ˈnyæ̰̂n,ni´-æ=an
Example 900,stú.ˈblád,stúblád
Example 901,*ba.ˈdu’.yan,ba-du’y=an
Example 902,ˈnyǽ,ni´-æ
Example 903,ˈxhi’.nyan,xhi’ny=an
Example 904,stú.ˈblád,stúblád
Example 905,gu.ˈlæby.ˈla.wan,gu-læby+law=ani
Example 906,ˈræ’n,r-æ’=ani/*j
Example 907,ˈnupy,nupy
Example 908,*gu.ˈlæby.ˈla.wan,gu-læby+law=an
Example 909,ˈræ,r-æ
Example 910,ˈBǽd,Bǽd
Example 911,ˈxkwíly,xkwíly
Example 912,ˈgudxa’,gudxa’
Example 913,bi.ˈdū.nnán,bi-dūnn=an
Example 914,ˈtxæ̰̂n,tx´-æ=an
Example 915,ˈbyṵz,byṵz
Example 916,guk.ˈxnya̰.ban,gu-akxnya̰b=an
Example 917,ˈtxæ̰̂n,tx´-æ=an
Example 918,ˈru’,ru’
Example 919,yu.ˈla̰y,yula̰y
Example 920,bi.ˈzæ̰.dan,bi-zæ̰d=ani
Example 921,ˈkwḭ̂.ban,kwḭ̂b=ani/*j
Example 922,ˈgû’n,gû’n
Example 923,ba.ˈkḭ̄ly,ba-kḭ̄ly
Example 924,ˈBǽd,Bǽdi
Example 925,ˈlǎ̰n,lǎ̰nj
Example 926,ˈgú.llán,g´-ull=an*i/j
Example 927,ˈllíbr.kī,llíbr=kī
Example 928,ba.ˈlṵy.an,ba-lṵy=ani
Example 929,ˈlǎ̰n,lǎ̰nj
Example 930,ruyn.ˈtxæ̰.yan,r-uyntxæ̰y=an*i/j
Example 931,ˈlady,lady
Example 932,ba.ˈllæ.byan,ba-llæby=ani
Example 933,ˈla.wan,low=anj
Example 934,ba.ˈllæ.byan,ba-llæby=ani
Example 935,ˈlǎ̰n,lǎ̰nj
Example 936,ˈgu.nyan,g´-uny=an*i/j
Example 937,ˈzṵyn,zṵyn
Example 938,*ba.ˈlṵy.an,ba-lṵy=ani
Example 939,ˈlǎ̰n,lǎ̰nj
Example 940,ruyn.ˈtxæ̰,r-uyntxæ̰y=an*i/j
Example 941,ˈBǽd,Bǽd
Example 942,ˈlady,lady
Example 943,ba.sa.ˈla̰z,ba-sala̰z
Example 944,ˈNély,Nély
Example 945,kēd.gú.ˈdîxh.dyan,kēd=gu-dixh=neg=an
Example 946,ˈxtxā’,xtxā’
Example 947,á.gu.ˈdxi,á=gudxi
Example 948,ˈtæ̰,tæ̰
Example 949,ba.nna.ˈla̰z.dán,ba-nnala̰z=dáni
Example 950,ˈtxǽ.dán,tx´-æ=dáni/*j
Example 951,ri.nni.ˈxkall,ri-nnixkall
Example 952,ˈJwáyn,Jwáyni
Example 953,ˈru.nyan,r-uny=ani/*j
Example 954,ˈgán,gán
Example 955,ri.nni.ˈxkall,ri-nnixkall
Example 956,ˈJwáyn,Jwáyni
Example 957,ˈruyn,r-uny
Example 958,ˈBǽd,Bǽd
Example 959,ˈgán,gán
Example 960,ˈgū.llán,gu-āll=ani
Example 961,gu.ˈdi.xhan,gu-dixh=ani/*j
Example 962,ˈgwilly,gwilly
Example 963,ˈgū.llán,gu-āll=an
Example 964,ˈgwæ,gu-æ
Example 965,ˈJwáyn,Jwáyn
Example 966,ˈxkwíly,xkwíly
Example 967,ba.ˈsjyæ̰̌n,ba-sjḭ̄=an
Example 968,txí.ˈllǎ’n,tx´-æ-llā’=an
Example 969,ˈlyu,lyu
Example 970,ba.ˈsjyæ̰̌n,ba-sjḭ̄=an
Example 971,txí.ˈllā’,tx´-æ-llā’
Example 972,ˈBǽd,Bǽd
Example 973,ˈlyu,lyu
Example 974,gu.ˈnnǎn,gu-nnā=an
Example 975,txi.bi.ˈzûyn.dán,txi=bi-zuyn=dán
Example 976,ba.ˈdxē.lán,ba-dxēl=an
Example 977,kūd.gú.ˈxḛ̂l.dán,kūd=gu-xḛl=dán
Example 978,ˈlǎ̰n,lǎ̰n
Example 979,gāxh.gu.díxh.ˈlæ̂’,gāxh=gu-díxhlæ̂’
Example 980,lo.ˈJúlly,low=Júlly
Example 981,ru.ˈxē.xhán,ru-xěxh=an
Example 982,txi.ru.zub.ˈxhyæ’n,txi=ru-zubxhi’=an
Example 983,ˈnēky,nēky
Example 984,ba.dxē.lán,ba-dxēl=an
Example 985,te.gu.ˈlâs,te=gulâs
Example 986,txi.ká.ˈgā̰.nyán,txi=ká-gā̰ny=an
Example 987,ˈrēky,rēky
Example 988,txi.ˈbyé.tán,txi=b-yet=an
Example 989,gāxh.ba.ˈsyā.nēn,gāxh=ba-syā=an=ēn
Example 990,txigu.ˈlûxh,txi=gu-luxh
Example 991,gu.dixh.ˈlæ’n,gu-dixhlæ’=an
Example 992,gāxh.gú.ˈnnyæ̰n,gāxh=gu-nnḭ=an
Example 993,gāxh.gú.ˈnnyæ̰n,gāxh=gu-nnḭ=an
Example 994,xī.ká.ˈyuyn.zú,xī=káy-uny=zá=ṵ
Example 995,gāxh.zí.bé.ˈxhâ̰.īn,gāxh=zi-béxhā=a̰=īn
Example 996,ká.ni.ká.ˈnnyæ̰n,ka=ni=ká-nnḭ=an
Example 997,#gāxh.ká.bé.ˈxhâ̰.īn,gāxh=ká-béxhâ̰=īn
Example 998,ká.ni.ˈnnyæ̰̂n,ka=ni=nnḭ̂=an
Example 999,ka.ni.kēd.rí.ˈka̰z.dyan,kani=kēd=ri-ka̰z=di=an
Example 1000,ˈnyǎk.kī,ni´-ak=kī
Example 1001,té.txí.ˈnæ̰̂,té=tx´-énæ̰̂
Example 1002,get.ˈgṵ̄,getgṵ
Example 1003,ni.ˈbā.nín,ni=bǎny=a̰=īn
Example 1004,gu.ˈlæ̌,gu-læ̌
Example 1005,ˈlady,clothes
Example 1006,lo.gu.ˈbidx,low=gubidx
Example 1007,té.ga.ˈbî.zēn,té=ga´-biz=ēn
Example 1008,té.ga.ˈbî.zēn,té=ga´-biz=ēn
Example 1009,ni.gu.ˈllěn,ni=gu-llæ̌=ēn
Example 1010,ló.gu.ˈbidx,low=gubidx
Example 1011,ba.ˈsḛw,ba-sḛw
Example 1012,té.kēd.ˈdyæ̰̂m,té=kēd=dyæ̰̂=um
Example 1013,ba.ˈsḛ̂.wa,ba-sḛ̂w=a̰
Example 1014,ˈbedy,bedy
Example 1015,té.kēd.ˈgów,té=kēd=g´-aw
Example 1016,ˈběw,běw
Example 1017,ˈlā̰.dúm,lā̰dúm
Example 1018,ri.be.ˈdxā’n,ri-bedxa’=ān
Example 1019,té.kēd.bá.ká.ˈdyā.gá,té=kēd=ba-kadyǎg=a̰
Example 1020,ˈdḭdx,dḭdx
Example 1021,ˈsrēky,srēky
Example 1022,gú.ˈnyæ̰n,gu-nnḭ=an
Example 1023,té.kēd.ˈnyæ̰̂n,té=kēd=ni´-æ=an
Example 1024,ˈxkwíly,xkwíly
Example 1025,ri.be.ˈdxā’n,ri-bedxa’=ān
Example 1026,té.kēd.bá.ká.ˈdyǎg.dya,té=kēd=ba-kadyǎg=di=a̰
Example 1027,ˈdḭdx,dḭdx
Example 1028,ri.be.ˈdxā’n,ri-bedxa’=ān
Example 1029,kóm.kēd.bá.ká.ˈdyǎg.dya,kom=kēd=ba-kadyǎg=di=a̰
Example 1030,ˈdḭdx,dḭdx
Example 1031,kom.kēd.bá.ká.ˈdyǎg.dya,kom=kēd=ba-kadyǎg=di=a̰
Example 1032,ˈdḭdx,dḭdx
Example 1033,gāxh.rí.be.ˈdxā’n,gāxh=ri-bedxa’=ān
Example 1034,#kom.ˈtxâ’,kom=tx´-â’
Example 1035,gāxh.bí.ˈdxī.txán,gāxh=bi-dxītx=an
Example 1036,kom.kēd.gú.kwá.ˈdyǎg.dya,kom=kēd=gu´-kwadyǎg=di=a̰
Example 1037,ˈdḭdx,dḭdx
Example 1038,gāxh.zí.be.ˈdxā’n,gāxh=zi-bedxa’=ān
Example 1039,"kom.txi.ˈræ’n,",kom=txi=r-æ’=an
Example 1040,kēd.ˈrǽ̰d.dyán,kēd=r-ǣ̰d=di=an
Example 1041,bi.ˈlā.dán,bi-lā=dán
Example 1042,ˈlǎ̰n,lǎ̰n
Example 1043,ni.ˈbyá.ban,ni=b-yab=an
Example 1044,bi.ˈlā.dán,bi-lā=dán
Example 1045,ˈlǎ̰n,lǎ̰n
Example 1046,ˈlā̰yn,lā̰yn
Example 1047,ni.ˈbyá.ban,ni=b-yab=an
Example 1048,kombi.ˈlā.dán,kom=bi-lā=dán
Example 1049,ˈlǎ̰n,lǎ̰n
Example 1050,ˈlā̰yn,lā̰yn
Example 1051,ni.ˈbyá.ban,ni=b-yab=an
Example 1052,téba.ˈllṵ̄b.dān,té=ba-llṵb=dān
Example 1053,ˈlǎ̰n,ˈlǎ̰n
Example 1054,ˈlā̰yn,lā̰yn
Example 1055,ni.ˈzæ̰̂n,ni=z´-æ=an
Example 1056,#ˈbyá.ban,b-yab=an
Example 1057,té.bi.ˈlā.dán,té=bi-lā=dán
Example 1058,ˈlǎ̰n,lǎ̰n
Example 1059,ˈbyá.ban,b-yab=an
Example 1060,kom.bi.ˈlā.dán,kom=bi-lā=dán
Example 1061,ˈlǎ̰n,lǎ̰n
Example 1062,bǣll.ˈbyâb,bǣll=b-yab
Example 1063,"nis.ˈjyæ,",nisgyæ
Example 1064,ˈgudx,gu-adx
Example 1065,ˈxpē.dyá’,x-bedy=a̰
Example 1066,bǣll.ˈbyâb,bǣll=b-yab
Example 1067,nis.ˈjyæ,nisgyæ
Example 1068,#gāxhˈgudx,gu-adx
Example 1069,ˈxpē.dyá,x-bedy=a̰
Example 1070,#bǣll.bá.ˈzu.nyan,bǣll=ba-zuny=an
Example 1071,"gu.ˈdxa’,",gudxa’
Example 1072,bye.kyan,b-yeky=an
Example 1073,"bǣll.bá.ˈsæ̰.dan,",bǣll=ba-sæ̰d=an
Example 1074,gāxh.zi.ˈdæ̰.dan,gāxh=zi-dæ̰d=an
Example 1075,"bǣll.ká.ˈsæ̰.dan,",bǣll=ká-sæ̰d=an
Example 1076,gāxh.zi.ˈdæ̰.dan,gāxh=zi-dæ̰d=an
Example 1077,"bǣll.gú.ˈsæ̰̂.dan,",bǣll=gu´-sæ̰d=an
Example 1078,gāxh.zi.ˈdæ̰.dan,gāxh=zi-dæ̰d=an
Example 1079,"*bǣll.bá.ˈsæ̰.dan,",bǣll=ba-sæ̰d=an
Example 1080,gāxh.gu.ˈdæ̰.dan,gāxh=gu-dæ̰d=an
Example 1081,"*bǣll.ká.ˈsæ̰.dan,",bǣll=ká-sæ̰d=an
Example 1082,gāxh.ˈtæ̰̂.dan,gāxh=tæ̰̂d=an
Example 1083,"*bǣll.ˈnyâ’,",bǣll=ni´-â’
Example 1084,gāxh.se.ˈgúr,gāxh=segúr
Example 1085,ˈtæ̰,tæ̰
Example 1086,ga.ˈdxá̰.gán,ga´-dxǎ̰g=an
